timestamp,symbol,position,total_symbols,net_positions
2025-08-21T11:15:03.508128,TSLA,-103,4,-2248
2025-08-21T11:15:03.508128,MSFT,-1518,4,-2248
2025-08-21T11:15:03.508128,GOOG,-296,4,-2248
2025-08-21T11:15:03.508128,AAPL,-331,4,-2248
2025-08-21T11:15:04.512652,TSLA,-103,4,-2183
2025-08-21T11:15:04.512652,MSFT,-1453,4,-2183
2025-08-21T11:15:04.512652,GOOG,-296,4,-2183
2025-08-21T11:15:04.512652,AAPL,-331,4,-2183
2025-08-21T11:15:05.508282,TSLA,318,4,-1762
2025-08-21T11:15:05.508282,MSFT,-1453,4,-1762
2025-08-21T11:15:05.508282,GOOG,-296,4,-1762
2025-08-21T11:15:05.508282,AAPL,-331,4,-1762
2025-08-21T11:15:54.756486,TSLA,-202,1,-202
2025-08-21T11:15:54.765474,TSLA,-237,1,-237
2025-08-21T11:15:54.775486,TSLA,-237,2,-172
2025-08-21T11:15:54.775486,MSFT,65,2,-172
2025-08-21T11:15:54.786476,TSLA,184,2,249
2025-08-21T11:15:54.786476,MSFT,65,2,249
2025-08-21T11:15:55.220629,TSLA,-18,2,47
2025-08-21T11:15:55.220629,MSFT,65,2,47
2025-08-21T11:15:55.228661,TSLA,-53,2,12
2025-08-21T11:15:55.228661,MSFT,65,2,12
2025-08-21T11:15:55.232622,TSLA,-53,2,77
2025-08-21T11:15:55.232622,MSFT,130,2,77
2025-08-21T11:15:55.237630,TSLA,368,2,498
2025-08-21T11:15:55.237630,MSFT,130,2,498
2025-08-21T11:16:00.942068,TSLA,368,2,352
2025-08-21T11:16:00.942068,MSFT,-16,2,352
2025-08-21T11:16:01.942228,TSLA,161,2,145
2025-08-21T11:16:01.942228,MSFT,-16,2,145
2025-08-21T11:16:02.937951,TSLA,76,2,60
2025-08-21T11:16:02.937951,MSFT,-16,2,60
2025-08-21T11:16:03.932557,TSLA,76,3,-156
2025-08-21T11:16:03.932557,MSFT,-16,3,-156
2025-08-21T11:16:03.932557,GOOG,-216,3,-156
2025-08-21T11:16:04.943075,TSLA,76,4,-92
2025-08-21T11:16:04.943075,MSFT,-16,4,-92
2025-08-21T11:16:04.943075,GOOG,-216,4,-92
2025-08-21T11:16:04.943075,AAPL,64,4,-92
2025-08-21T11:16:05.938388,TSLA,76,4,398
2025-08-21T11:16:05.938388,MSFT,-16,4,398
2025-08-21T11:16:05.938388,GOOG,274,4,398
2025-08-21T11:16:05.938388,AAPL,64,4,398
2025-08-21T11:16:06.933543,TSLA,76,4,876
2025-08-21T11:16:06.933543,MSFT,462,4,876
2025-08-21T11:16:06.933543,GOOG,274,4,876
2025-08-21T11:16:06.933543,AAPL,64,4,876
2025-08-21T11:16:07.946943,TSLA,76,4,586
2025-08-21T11:16:07.946943,MSFT,172,4,586
2025-08-21T11:16:07.946943,GOOG,274,4,586
2025-08-21T11:16:07.946943,AAPL,64,4,586
2025-08-21T11:16:08.930997,TSLA,76,4,663
2025-08-21T11:16:08.930997,MSFT,249,4,663
2025-08-21T11:16:08.930997,GOOG,274,4,663
2025-08-21T11:16:08.930997,AAPL,64,4,663
2025-08-21T11:16:09.933970,TSLA,76,4,475
2025-08-21T11:16:09.933970,MSFT,249,4,475
2025-08-21T11:16:09.933970,GOOG,86,4,475
2025-08-21T11:16:09.933970,AAPL,64,4,475
2025-08-21T11:16:10.942799,TSLA,76,4,346
2025-08-21T11:16:10.942799,MSFT,120,4,346
2025-08-21T11:16:10.942799,GOOG,86,4,346
2025-08-21T11:16:10.942799,AAPL,64,4,346
2025-08-21T11:16:11.942928,TSLA,76,4,361
2025-08-21T11:16:11.942928,MSFT,135,4,361
2025-08-21T11:16:11.942928,GOOG,86,4,361
2025-08-21T11:16:11.942928,AAPL,64,4,361
2025-08-21T11:16:12.941051,TSLA,76,4,-68
2025-08-21T11:16:12.941051,MSFT,135,4,-68
2025-08-21T11:16:12.941051,GOOG,-343,4,-68
2025-08-21T11:16:12.941051,AAPL,64,4,-68
2025-08-21T11:16:13.933450,TSLA,76,4,-237
2025-08-21T11:16:13.933450,MSFT,-34,4,-237
2025-08-21T11:16:13.933450,GOOG,-343,4,-237
2025-08-21T11:16:13.933450,AAPL,64,4,-237
