timestamp,symbol,pnl,total_pnl,total_volume,trade_count,avg_trade_size
2026-01-17T15:51:56.450234,AAPL,-112746.71999999999,144086.36,369579.79999999993,3,123193.26666666665
2026-01-17T15:51:56.450234,GOOG,256833.08,144086.36,369579.79999999993,3,123193.26666666665
2026-01-17T15:51:59.480385,AAPL,-112746.71999999999,66963.58000000002,473334.7799999999,6,78889.12999999999
2026-01-17T15:51:59.480385,GOOG,257944.0,66963.58000000002,473334.7799999999,6,78889.12999999999
2026-01-17T15:51:59.480385,TSLA,-78233.70000000001,66963.58000000002,473334.7799999999,6,78889.12999999999
2026-01-17T15:52:02.500275,AAPL,-76801.85999999999,-107005.10999999999,719193.19,9,79910.35444444444
2026-01-17T15:52:02.500275,GOOG,257944.0,-107005.10999999999,719193.19,9,79910.35444444444
2026-01-17T15:52:02.500275,TSLA,-288147.25,-107005.10999999999,719193.19,9,79910.35444444444
2026-01-17T15:52:05.523007,AAPL,-217782.12,-549066.26,1161254.3399999999,12,96771.19499999999
2026-01-17T15:52:05.523007,GOOG,257944.0,-549066.26,1161254.3399999999,12,96771.19499999999
2026-01-17T15:52:05.523007,TSLA,-589228.14,-549066.26,1161254.3399999999,12,96771.19499999999
2026-01-17T15:52:08.542470,AAPL,-327663.24,-607563.3200000001,1322519.52,15,88167.96800000001
2026-01-17T15:52:08.542470,GOOG,257944.0,-607563.3200000001,1322519.52,15,88167.96800000001
2026-01-17T15:52:08.542470,TSLA,-581591.28,-607563.3200000001,1322519.52,15,88167.96800000001
2026-01-17T15:52:08.542470,MSFT,43747.200000000004,-607563.3200000001,1322519.52,15,88167.96800000001
2026-01-17T15:52:11.570889,AAPL,-216126.24,-544941.9,1606959.04,18,89275.50222222222
2026-01-17T15:52:11.570889,GOOG,257944.0,-544941.9,1606959.04,18,89275.50222222222
2026-01-17T15:52:11.570889,TSLA,-692500.3300000001,-544941.9,1606959.04,18,89275.50222222222
2026-01-17T15:52:11.570889,MSFT,105740.67000000001,-544941.9,1606959.04,18,89275.50222222222
2026-01-17T15:52:14.590191,AAPL,-216126.24,-805831.52,2046015.84,21,97429.32571428572
2026-01-17T15:52:14.590191,GOOG,103183.94,-805831.52,2046015.84,21,97429.32571428572
2026-01-17T15:52:14.590191,TSLA,-603416.7400000001,-805831.52,2046015.84,21,97429.32571428572
2026-01-17T15:52:14.590191,MSFT,-89472.47999999998,-805831.52,2046015.84,21,97429.32571428572
2026-01-17T15:52:17.590243,AAPL,-216126.24,-789167.6800000002,2133896.8000000003,24,88912.36666666668
2026-01-17T15:52:17.590243,GOOG,108923.58,-789167.6800000002,2133896.8000000003,24,88912.36666666668
2026-01-17T15:52:17.590243,TSLA,-592492.5400000002,-789167.6800000002,2133896.8000000003,24,88912.36666666668
2026-01-17T15:52:17.590243,MSFT,-89472.47999999998,-789167.6800000002,2133896.8000000003,24,88912.36666666668
2026-01-17T15:52:20.610417,AAPL,-457816.05999999994,-902157.5,2504286.62,27,92751.3562962963
2026-01-17T15:52:20.610417,GOOG,237623.58000000002,-902157.5,2504286.62,27,92751.3562962963
2026-01-17T15:52:20.610417,TSLA,-592492.5400000002,-902157.5,2504286.62,27,92751.3562962963
